division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
10,(Inactive) Women's Masters (70-74) +87kg,2025-08-10T14:20:13.260Z,2,2,2,0,UPLOAD_STARTED,62
11,(Inactive) Women's Masters (75+) +75 kg,2025-08-10T14:21:19.736Z,2,2,2,0,UPLOAD_STARTED,61
12,(Inactive) Women's Masters (75+) 48 kg,2025-08-10T14:22:27.566Z,0,0,0,NO_UPLOAD_NEEDED,1754835684743,NaN
13,(Inactive) Women's Masters (75+) 53 kg,2025-08-10T14:23:35.551Z,0,0,0,NO_UPLOAD_NEEDED,1754835752631,NaN
14,(Inactive) Women's Masters (75+) 58 kg,2025-08-10T14:24:44.316Z,2,2,2,0,UPLOAD_STARTED,64
15,(Inactive) Women's Masters (75+) 63 kg,2025-08-10T14:25:52.098Z,2,2,2,0,UPLOAD_STARTED,63
16,(Inactive) Women's Masters (75+) 69 kg,2025-08-10T14:27:02.569Z,3,3,3,0,UPLOAD_STARTED,65
17,(Inactive) Women's Masters (75+) 75 kg,2025-08-10T14:28:09.548Z,3,3,3,0,UPLOAD_STARTED,62
18,(Inactive) Women's Masters (75+) 90 kg,2025-08-10T14:29:23.193Z,Unknown,1,1,0,UPLOAD_STARTED,69
19,(Inactive) Women's Masters (75+) +90 kg,2025-08-10T14:30:29.965Z,Unknown,1,1,0,UPLOAD_STARTED,62
20,(Inactive) Women's Masters (75+) 45kg,2025-08-10T14:31:37.204Z,0,0,0,NO_UPLOAD_NEEDED,1754836234967,NaN
21,(Inactive) Women's Masters (75+) 49kg,2025-08-10T14:32:39.863Z,0,0,0,NO_UPLOAD_NEEDED,1754836302263,NaN
22,(Inactive) Women's Masters (75+) 55kg,2025-08-10T14:33:38.303Z,0,0,0,NO_UPLOAD_NEEDED,1754836364864,NaN
23,(Inactive) Women's Masters (75+) 59kg,2025-08-10T14:34:41.084Z,2,2,2,0,UPLOAD_STARTED,58
24,(Inactive) Women's Masters (75+) 64kg,2025-08-10T14:35:41.514Z,Unknown,1,1,0,UPLOAD_STARTED,55
25,(Inactive) Women's Masters (75+) 71kg,2025-08-10T14:36:43.626Z,0,0,0,NO_UPLOAD_NEEDED,1754836546526,NaN
26,(Inactive) Women's Masters (75+) 76kg,2025-08-10T14:37:45.020Z,0,0,0,NO_UPLOAD_NEEDED,1754836608627,NaN
27,(Inactive) Women's Masters (75+) 81kg,2025-08-10T14:38:43.339Z,0,0,0,NO_UPLOAD_NEEDED,1754836670023,NaN
28,(Inactive) Women's Masters (75+) 87kg,2025-08-10T14:39:44.118Z,Unknown,1,1,0,UPLOAD_STARTED,56
29,(Inactive) Women's Masters (75+) +87kg,2025-08-10T14:40:45.462Z,Unknown,1,1,0,UPLOAD_STARTED,56
30,(Inactive) Open Women's +75 kg,2025-08-10T14:49:15.933Z,1794,1794,1794,0,UPLOAD_STARTED,505
31,(Inactive) Open Women's 48 kg,2025-08-10T14:50:47.315Z,131,131,131,0,UPLOAD_STARTED,86
32,(Inactive) Open Women's 53 kg,2025-08-10T14:53:14.678Z,346,346,346,0,UPLOAD_STARTED,142
33,(Inactive) Open Women's 58 kg,2025-08-10T14:58:21.927Z,825,825,825,0,UPLOAD_STARTED,302
34,(Inactive) Open Women's 63 kg,2025-08-10T15:05:11.400Z,1245,1245,1245,0,UPLOAD_STARTED,404
35,(Inactive) Open Women's 69 kg,2025-08-10T15:11:55.764Z,1267,1266,1266,0,UPLOAD_STARTED,399
36,(Inactive) Open Women's 75 kg,2025-08-10T15:28:04.809Z,1178,1157,1157,0,UPLOAD_STARTED,964
37,(Inactive) Open Women's 90 kg,2025-08-10T15:44:55.342Z,1293,1280,1280,0,UPLOAD_STARTED,1005
