division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
_2020
5,(Inactive) Men's 14-15 Age Group 77 kg,2025-08-09T23:10:09.106Z,46,46,46,0,UPLOAD_STARTED,83
6,(Inactive) Men's 14-15 Age Group 85 Kg,2025-08-09T23:11:24.558Z,31,31,31,0,UPLOAD_STARTED,70
7,(Inactive) Men's 14-15 Age Group +85 kg,2025-08-09T23:12:41.042Z,47,47,47,0,UPLOAD_STARTED,71
8,(Inactive) Men's 14-15 Age Group 39kg,2025-08-09T23:13:54.071Z,3,3,3,0,UPLOAD_STARTED,68
9,(Inactive) Men's 14-15 Age Group 44kg,2025-08-09T23:15:05.645Z,7,7,7,0,UPLOAD_STARTED,67
10,(Inactive) Men's 14-15 Age Group 49kg,2025-08-09T23:16:13.912Z,17,17,17,0,UPLOAD_STARTED,63
11,(Inactive) Men's 14-15 Age Group 55kg,2025-08-09T23:17:32.603Z,49,49,49,0,UPLOAD_STARTED,74
12,(Inactive) Men's 14-15 Age Group 61kg,2025-08-09T23:19:02.460Z,63,63,63,0,UPLOAD_STARTED,85
13,(Inactive) Men's 14-15 Age Group 67kg,2025-08-09T23:20:32.034Z,57,57,57,0,UPLOAD_STARTED,85
14,(Inactive) Men's 14-15 Age Group 73kg,2025-08-09T23:21:51.847Z,35,35,35,0,UPLOAD_STARTED,75
15,(Inactive) Men's 14-15 Age Group 81kg,2025-08-09T23:23:00.824Z,44,44,44,0,UPLOAD_STARTED,64
16,(Inactive) Men's 14-15 Age Group 89kg,2025-08-09T23:24:18.560Z,25,25,25,0,UPLOAD_STARTED,73
17,(Inactive) Men's 14-15 Age Group +89kg,2025-08-09T23:25:22.384Z,34,34,34,0,UPLOAD_STARTED,59
18,(Inactive) Women's 16-17 Age Group 44 kg,2025-08-09T23:26:23.124Z,4,4,4,0,UPLOAD_STARTED,56
19,(Inactive) Women's 16-17 Age Group 48 kg,2025-08-09T23:27:29.706Z,20,20,20,0,UPLOAD_STARTED,61
20,(Inactive) Women's 16-17 Age Group 53 kg,2025-08-09T23:28:57.684Z,52,52,52,0,UPLOAD_STARTED,83
21,(Inactive) Women's 16-17 Age Group 58 kg,2025-08-09T23:30:56.825Z,88,88,88,0,UPLOAD_STARTED,114
22,(Inactive) Women's 16-17 Age Group 63 kg,2025-08-09T23:33:12.830Z,108,108,108,0,UPLOAD_STARTED,131
23,(Inactive) Women's 16-17 Age Group 69 kg,2025-08-09T23:35:19.790Z,72,72,72,0,UPLOAD_STARTED,122
24,(Inactive) Women's 16-17 Age Group 75 kg,2025-08-09T23:37:03.365Z,53,53,53,0,UPLOAD_STARTED,99
25,(Inactive) Women's 16-17 Age Group +75 kg,2025-08-09T23:39:04.218Z,74,74,74,0,UPLOAD_STARTED,116
26,(Inactive) Women's 16-17 Age Group 40kg,2025-08-09T23:40:10.209Z,0,0,0,NO_UPLOAD_NEEDED,1754782749223,NaN
27,(Inactive) Women's 16-17 Age Group 45kg,2025-08-09T23:41:21.277Z,8,8,8,0,UPLOAD_STARTED,66
28,(Inactive) Women's 16-17 Age Group 49kg,2025-08-09T23:42:35.835Z,28,28,28,0,UPLOAD_STARTED,70
29,(Inactive) Women's 16-17 Age Group 55kg,2025-08-09T23:44:44.522Z,72,72,72,0,UPLOAD_STARTED,124
30,(Inactive) Women's 16-17 Age Group 59kg,2025-08-09T23:46:51.328Z,87,87,87,0,UPLOAD_STARTED,122
31,(Inactive) Women's 16-17 Age Group 64kg,2025-08-09T23:49:19.639Z,93,93,93,0,UPLOAD_STARTED,143
32,(Inactive) Women's 16-17 Age Group 71kg,2025-08-09T23:51:12.675Z,73,73,73,0,UPLOAD_STARTED,108
33,(Inactive) Women's 16-17 Age Group 76kg,2025-08-09T23:52:29.809Z,27,27,27,0,UPLOAD_STARTED,72
34,(Inactive) Women's 16-17 Age Group 81kg,2025-08-09T23:53:40.206Z,27,27,27,0,UPLOAD_STARTED,65
