division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
_2020
33,(Inactive) Women's Masters (55-59) 64kg,2025-08-10T14:45:59.689Z,29,29,29,0,UPLOAD_STARTED,55
34,(Inactive) Women's Masters (55-59) 71kg,2025-08-10T14:46:58.710Z,24,24,24,0,UPLOAD_STARTED,54
35,(Inactive) Women's Masters (55-59) 76kg,2025-08-10T14:47:57.223Z,18,18,18,0,UPLOAD_STARTED,54
36,(Inactive) Women's Masters (55-59) 81kg,2025-08-10T14:48:56.387Z,11,11,11,0,UPLOAD_STARTED,54
37,(Inactive) Women's Masters (55-59) 87kg,2025-08-10T14:50:01.931Z,10,10,10,0,UPLOAD_STARTED,61
38,(Inactive) Women's Masters (55-59) +87kg,2025-08-10T14:51:07.327Z,14,14,14,0,UPLOAD_STARTED,60
39,(Inactive) Women's Masters (60-64) +75 kg,2025-08-10T14:52:12.711Z,19,19,19,0,UPLOAD_STARTED,60
40,(Inactive) Women's Masters (60-64) 48 kg,2025-08-10T14:53:17.009Z,4,4,4,0,UPLOAD_STARTED,59
41,(Inactive) Women's Masters (60-64) 53 kg,2025-08-10T14:54:22.881Z,11,11,11,0,UPLOAD_STARTED,61
42,(Inactive) Women's Masters (60-64) 58 kg,2025-08-10T14:55:38.550Z,21,21,21,0,UPLOAD_STARTED,71
